Name,Platform,Type,Version,Assigned,Developer
".NET Framework 4.7.2","Windows","Windows app (Win32)","4.7.2","No",""
"Adobe Acrobat Reader DC","Windows","Microsoft Store app (new)","","Yes",""
"Azure CLI (x64)","Windows","Windows catalog app (Win32)","2.83.0","Yes",""
"Azure PowerShell (x64)","Windows","Windows catalog app (Win32)","15.3.0.40553","Yes",""
"Azure Storage Explorer (x64)","Windows","Windows catalog app (Win32)","1.41.0","Yes",""
"Chrome for Business 64-bit","Windows","Windows catalog app (Win32)","141.0.7390.123","Yes",""
"Citrix Workspace app","Windows","Windows catalog app (Win32)","26.3.1.194","No","Citrix"
"Citrix Workspace app","Windows","Windows catalog app (Win32)","26.3.10.69","Yes","Citrix"
"Citrix Workspace Full Installer","Windows","Windows app (Win32)","25.11.1.209","No",""
"Company Portal","Windows","Microsoft Store app (new)","","Yes",""
"DAX Studio","Windows","Windows catalog app (Win32)","3.4.0.1135","Yes",""
"DBeaver Community (x64)","Windows","Windows catalog app (Win32)","25.3.4","Yes",""
"Docker Desktop (x64)","Windows","Windows catalog app (Win32)","4.77.0.228796","Yes","Docker Inc."
"Docker Desktop (x64)","Windows","Windows catalog app (Win32)","4.49.0.208700","Yes",""
"Firefox (English US) (x64)","Windows","Windows catalog app (Win32)","144.0.2","No",""
"Game Bar","Windows","Microsoft Store app (new)","","Yes",""
"Git (x64)","Windows","Windows catalog app (Win32)","2.51.2.1","No",""
"Jabra Direct","Windows","Windows catalog app (Win32)","6.26.32801","No","GN Audio AS"
"KeePass 2.60","Windows","Windows app (Win32)","2.60.1","Yes",""
"Mail and Calendar","Windows","Microsoft Store app (new)","","Yes",""
"Microsoft 365 Apps (no classic Outlook)","Windows","Microsoft 365 Apps (Windows 10 and later)","","Yes","Microsoft"
"Microsoft 365 Copilot","Windows","Microsoft Store app (new)","","Yes",""
"Microsoft Edge","Windows","Microsoft Edge (Windows 10 and later)","","Yes","Microsoft"
"Microsoft ODBC Driver 18 for SQL Server","Windows","Windows app (Win32)","18.6.2.1","Yes",""
"Microsoft Power BI Desktop (x64)","Windows","Windows catalog app (Win32)","2.150.2102.0","Yes",""
"Microsoft Power BI Report Builder","Windows","Windows app (Win32)","15.7.1815.334","Yes",""
"Microsoft Visual Studio 2022 Enterprise (Current)","Windows","Windows catalog app (Win32)","17.14.36915.13","Yes",""
"Movies & TV","Windows","Microsoft Store app (new)","","Yes",""
"Nessus Agent 10 (x64)","Windows","Windows catalog app (Win32)","10.9.2.20014","Yes",""
"Node.js 21 (x64)","Windows","Windows catalog app (Win32)","21.7.3","Yes","Node.js Foundation"
"Notepad++ (x64) (EXE)","Windows","Windows catalog app (Win32)","8.9.1","Yes",""
"Omnissa Horizon Client","Windows","Windows app (Win32)","8.16.2","Yes",""
"Outlook for Windows","Windows","Microsoft Store app (new)","","Yes",""
"Phone Link","Windows","Microsoft Store app (new)","","Yes",""
"Pycharm","Windows","Windows app (Win32)","2025.3.2.1","Yes",""
"Python 3.13 (x64)","Windows","Windows catalog app (Win32)","3.13.9","Yes",""
"Quick Assist","Windows","Microsoft Store app (new)","","Yes",""
"Remote Help","Windows","Windows catalog app (Win32)","5.1.1998.0","Yes",""
"SQL Server Management Studio 20 (English)","Windows","Windows catalog app (Win32)","20.2.37.0","Yes",""
"Tabular Editor 2","Windows","Windows catalog app (Win32)","2.24.1","Yes",""
"Trellix Smart Install","Windows","Windows app (Win32)","","Yes",""
"Visual Studio Code (System Installer) (x64)","Windows","Windows catalog app (Win32)","1.123.0","Yes","Microsoft"
"Visual Studio Code (System Installer) (x64)","Windows","Windows catalog app (Win32)","1.109.0","Yes",""
"Windows App","Windows","Microsoft Store app (new)","","Yes",""
"Windows Autopatch Client Broker","Windows","Windows app (Win32)","","Yes",""
"Xbox","Windows","Microsoft Store app (new)","","Yes",""
"Zoom Workplace (x64)","Windows","Windows catalog app (Win32)","7.0.38856","Yes","Zoom Video Communications, Inc."
"Zscaler Client Connector 4.3 (x64)","Windows","Windows catalog app (Win32)","4.3.0.277","Yes",""
